id,name,industry_id,active,notes
1,Accounting,160,1,
2,Airlines and Aviation,58,1,
3,Alternative Dispute Resolution,135,1,
4,Alternative Medicine,70,1,
5,Animation,29,1,
6,Apparel and Fashion,23,1,
7,Architecture and Planning,41,1,
8,Arts and Crafts,90,1,
9,Artificial Intelligence,1990,1,
10,Automotive,53,1,
11,Aviation and Aerospace,147,1,
12,Banking,43,1,
13,Biotechnology,11,1,
14,Blockchain Services,3130,1,
15,Broadcast Media Production and Distribution,64,1,
16,Building Materials,91,1,
17,Business Consulting and Services,2190,1,
18,Capital Markets,131,1,
19,Chemical Manufacturing,54,1,
20,Civic and Social Organizations,95,1,
21,Civil Engineering,112,1,
22,Cloud Computing,104,1,
23,Commercial Real Estate,44,1,
24,Computer and Network Security,118,1,
25,Computer Hardware Manufacturing,14,1,
26,Computer Networking Products,139,1,
27,Construction,48,1,
28,Consumer Electronics,5,1,
29,Consumer Goods,29,1,
30,Consumer Services,94,1,
31,Cosmetics,31,1,
32,Cybersecurity,2996,1,
33,Dairy Product Manufacturing,TODO,0,
34,Data Infrastructure and Analytics,3130,1,
35,Defense and Space Manufacturing,19,1,
36,Design Services,45,1,
37,DevOps,TODO,0,
38,Digital Marketing,2272,1,
39,Digital Transformation,TODO,0,
40,E-learning Providers,2379,1,
41,EdTech,TODO,0,
42,Education Administration Programs,68,1,
43,Embedded Software Products,TODO,0,
44,Enterprise Software,TODO,0,
45,Entertainment Providers,136,1,
46,Environmental Services,115,1,
47,Events Services,143,1,
48,Executive Offices,121,1,
49,Facilities Services,150,1,
50,Farming,1,1,
51,Financial Services,43,1,
52,Fine Art,93,1,
53,FinTech,TODO,0,
54,Food and Beverage Manufacturing,3,1,
55,Food and Beverage Services,2939,1,
56,Food Production,3,1,
57,Fundraising,TODO,0,
58,Furniture and Home Furnishings Manufacturing,TODO,0,
59,Gambling Facilities and Casinos,TODO,0,
60,Gaming,TODO,0,
61,Glass Ceramics and Concrete Manufacturing,TODO,0,
62,Government Administration,75,1,
63,Government Relations Services,130,1,
64,GovTech,TODO,0,
65,Graphic Design,TODO,0,
66,Health and Human Services,139,1,
67,HealthTech,TODO,0,
68,Higher Education,69,1,
69,Hospitality,32,1,
70,Hospitals and Health Care,14,1,
71,Human Resources Services,137,1,
72,Import and Export,65,1,
73,Individual and Family Services,107,1,
74,Industrial Machinery Manufacturing,TODO,0,
75,Information Services,84,1,
76,Infrastructure as a Service (IaaS),TODO,0,
77,Insurance,42,1,
78,InsurTech,TODO,0,
79,International Affairs,76,1,
80,International Trade and Development,66,1,
81,Internet Marketplace Platforms,TODO,0,
82,Investment Banking,127,1,
83,Investment Management,128,1,
84,IT Services and IT Consulting,96,1,
85,IT System Custom Software Development,TODO,0,
86,Law Enforcement,126,1,
87,Law Practice,109,1,
88,Leasing Non-residential Real Estate,TODO,0,
89,Legal Services,110,1,
90,LegalTech,TODO,0,
91,Legislative Offices,TODO,0,
92,Leisure Travel and Tourism,34,1,
93,Libraries,TODO,0,
94,Logistics and Supply Chain,116,1,
95,Luxury Goods and Jewelry,57,1,
96,Machine Learning,TODO,0,
97,Machinery Manufacturing,30,1,
98,Management Consulting,111,1,
99,Manufacturing,22,1,
100,Market Research,87,1,
101,Marketing Services,TODO,0,
102,Marketing Technology,TODO,0,
103,Media Production,33,1,
104,Medical Equipment Manufacturing,86,1,
105,Medical Practices,TODO,0,
106,Mental Health Care,TODO,0,
107,Mining,36,1,
108,Mobile App Development,TODO,0,
109,Motion Pictures and Film,38,1,
110,Museums,TODO,0,
111,Musicians,TODO,0,
112,Nanotechnology Research,TODO,0,
113,Newspaper Publishing,105,1,
114,Non-profit Organizations,TODO,0,
115,Oil and Gas,37,1,
116,Online Audio and Video Media,TODO,0,
117,Open Source Software,TODO,0,
118,Packaging and Containers Manufacturing,TODO,0,
119,Paper and Forest Product Manufacturing,TODO,0,
120,Performing Arts,61,1,
121,Pharmaceutical Manufacturing,85,1,
122,Philanthropic Fundraising Services,TODO,0,
123,Photography,TODO,0,
124,Plastics Manufacturing,TODO,0,
125,Platform as a Service (PaaS),TODO,0,
126,Political Organizations,TODO,0,
127,Primary and Secondary Education,TODO,0,
128,Printing Services,TODO,0,
129,Professional Training and Coaching,100,1,
130,Public Policy Offices,TODO,0,
131,Public Relations and Communications Services,1028,1,
132,Public Safety,TODO,0,
133,Rail Transportation,TODO,0,
134,Real Estate,44,1,
135,Recreational Facilities,TODO,0,
136,Religious Institutions,TODO,0,
137,Renewable Energy Semiconductor Manufacturing,TODO,0,
138,Research Services,TODO,0,
139,Restaurants,35,1,
140,Retail,27,1,
141,Retail Apparel and Fashion,TODO,0,
142,RetailTech,TODO,0,
143,SaaS,4,1,
144,Security and Investigations,52,1,
145,Semiconductor Manufacturing,7,1,
146,Shipbuilding,TODO,0,
147,Software Development,4,1,
148,Spectator Sports,TODO,0,
149,Sporting Goods Manufacturing,TODO,0,
150,Staffing and Recruiting,104,1,
151,Telecommunications,8,1,
152,Technology Information and Internet,6,1,
153,Technology Information and Media,1594,1,
154,Textile Manufacturing,TODO,0,
155,Think Tanks,TODO,0,
156,Tobacco Manufacturing,TODO,0,
157,Translation and Localization,TODO,0,
158,Transportation Logistics Supply Chain and Storage,116,1,
159,Truck Transportation,TODO,0,
160,Utilities,49,1,
161,Venture Capital and Private Equity Principals,128,1,
162,Veterinary Services,TODO,0,
163,Warehousing and Storage,TODO,0,
164,Web Development,TODO,0,
165,Wholesale,50,1,
166,Wine and Spirits,TODO,0,
167,Wireless Services,TODO,0,
168,Writing and Editing,TODO,0,
