id,linkedin_url,company_name,country,company_domain,website_raw,industry,company_size,headquarters,company_type,founded,followers,description,scraped_timestamp,updated_timestamp
270,https://www.linkedin.com/company/nyrahealth,nyra health,Austria,nyra.health,https://www.nyra.health,Hospitals and Health Care,11-50 employees,"Wien , Wien",,2021,,,2026-03-14T12:44:45Z,2026-03-14T12:45:22Z
271,https://www.linkedin.com/company/cardiovascular-and-interventional-radiological-society-of-europe,Cardiovascular and Interventional Radiological Society of Europe (CIRSE),Austria,cirse.org,http://cirse.org/,Medical Practices,11-50 employees,,,1984,,,2026-03-14T12:45:52Z,2026-03-14T12:46:25Z
272,https://www.linkedin.com/company/imagebiopsy-lab,ImageBiopsy Lab,Austria,imagebiopsy.com,http://www.imagebiopsy.com,Hospitals and Health Care,11-50 employees,,,2016,,,2026-03-14T12:46:57Z,2026-03-14T12:47:31Z
273,https://www.linkedin.com/company/eusomii,EuSoMII - European Society of Medical Imaging Informatics,Austria,eusomii.org,https://eusomii.org,Hospitals and Health Care,11-50 employees,,,2013,,,2026-03-14T12:48:00Z,2026-03-14T12:48:37Z
274,https://www.linkedin.com/company/global-second-opinion,Global Second Opinion,Austria,globalsecondopinion.com,https://www.globalsecondopinion.com/,Medical Practices,11-50 employees,"Boston, Massachusetts",,2019,,,2026-03-14T12:49:04Z,2026-03-14T12:49:38Z
275,https://www.linkedin.com/company/european-academy-of-neurology,European Academy of Neurology,Austria,ean.org,http://www.ean.org/,Hospitals and Health Care,11-50 employees,"Vienna, Vienna",,2014,,,2026-03-14T12:50:06Z,2026-03-14T12:50:40Z
276,https://www.linkedin.com/company/sindbad-social-business,Sindbad - Social Business,Austria,sindbad.co.at,http://www.sindbad.co.at/,Individual and Family Services,11-50 employees,,,2016,,,2026-03-14T12:51:06Z,2026-03-14T12:51:39Z
277,https://www.linkedin.com/company/haelsiat,haelsi,Austria,haelsi.at,https://www.haelsi.at,Hospitals and Health Care,11-50 employees,,,,,,2026-03-14T12:52:08Z,2026-03-14T12:52:43Z
278,https://www.linkedin.com/company/european-conference-on-interventional-oncology,European Conference on Interventional Oncology,Austria,ecio.org,http://www.ecio.org,Hospitals and Health Care,11-50 employees,"Vienna, Vienna",,,,,2026-03-14T12:53:06Z,2026-03-14T12:53:41Z
279,https://www.linkedin.com/company/cvir-endovascular,CVIR Endovascular,Austria,cvirendovascular.org,https://www.cvirendovascular.org,Medical Practices,11-50 employees,,,2015,,,2026-03-14T12:54:04Z,2026-03-14T12:54:39Z
280,https://www.linkedin.com/company/makarojewelry,Makaro Jewelry,Austria,makarojewelry.com,http://www.makarojewelry.com,Retail Luxury Goods and Jewelry,11-50 employees,,,2015,,,2026-03-14T12:55:07Z,2026-03-14T12:55:39Z
281,https://www.linkedin.com/company/brunathelabel,BRUNA,Austria,brunathelabel.com,https://brunathelabel.com,Luxury Goods & Jewelry,11-50 employees,,,2019,,,2026-03-14T12:56:11Z,2026-03-14T12:56:48Z
282,https://www.linkedin.com/company/uhren-juwelen-winkler,Juwelier Winkler,Austria,,,Retail Luxury Goods and Jewelry,11-50 employees,"Landeck, Tirol",,1953,,,2026-03-14T12:57:13Z,2026-03-14T12:57:49Z
283,https://www.linkedin.com/company/langer-magnet-austria,Langer® Magnet Austria,Austria,langer-magnet.com,https://www.langer-magnet.com,Retail Luxury Goods and Jewelry,11-50 employees,"Enns, Upper Austria",,1968,,,2026-03-14T12:58:14Z,2026-03-14T12:58:54Z
284,https://www.linkedin.com/company/schullin-wien,Schullin Wien,Austria,schullin.com,http://www.schullin.com,Retail Luxury Goods and Jewelry,11-50 employees,,,1955,,,2026-03-14T12:59:23Z,2026-03-14T12:59:59Z
285,https://www.linkedin.com/company/ligre-company,LIGRE,Austria,ligre.com,www.ligre.com,Retail Luxury Goods and Jewelry,11-50 employees,"Niederndorf bei Kufstein, Tirol",,2019,,,2026-03-14T13:00:30Z,2026-03-14T13:01:06Z
