country_name,geo_id,active,sort_order,notes
Austria,103883259,1,1,Start here for testing
Germany,101282230,1,2,
Switzerland,106693272,1,3,
Netherlands,102890719,1,4,
United Kingdom,101165590,1,5,
France,105015875,1,6,
Sweden,105117694,1,7,
Denmark,104514075,1,8,
Norway,103819153,1,9,
Finland,100456013,1,10,
Belgium,100565514,1,11,
Ireland,104738515,1,12,
Poland,105072130,1,13,
Czech Republic,104508036,1,14,
Spain,105646813,1,15,
Italy,103350119,1,16,
Portugal,100364837,1,17,
Romania,106670623,1,18,
Hungary,100288700,1,19,
Bulgaria,105333783,1,20,
Croatia,104688944,1,21,
Slovakia,103119917,1,22,
Estonia,102974008,1,24,
Latvia,102320920,1,25,
Lithuania,101464403,1,26,
Luxembourg,104042105,1,27,
Greece,104677530,1,30,
Serbia,101855366,1,31,


