id,name,geo_id,active,notes
1,Albania,102728260,1,
2,Andorra,102300312,1,
3,Austria,103883259,1,
4,Belarus,101705918,1,
5,Belgium,100565514,1,
6,Bosnia and Herzegovina,101404535,1,
7,Bulgaria,105333783,1,
8,Croatia,104688944,1,
9,Cyprus,104291398,1,
10,Czechia,104508036,1,
11,Denmark,104514075,1,
12,Estonia,102974008,1,
13,Finland,100456013,1,
14,France,105015875,1,
15,Germany,101282230,1,
16,Greece,104677530,1,
17,Hungary,100288700,1,
18,Iceland,105238872,1,
19,Ireland,104738515,1,
20,Italy,103350119,1,
21,Kosovo,105040510,1,
22,Latvia,102320920,1,
23,Liechtenstein,100878084,1,
24,Lithuania,101464403,1,
25,Luxembourg,104042105,1,
26,Malta,104879072,1,
27,Moldova,106999961,1,
28,Monaco,100416626,1,
29,Montenegro,101816484,1,
30,Netherlands,102890719,1,
31,North Macedonia,100807958,1,
32,Norway,103819153,1,
33,Poland,105072130,1,
34,Portugal,100364837,1,
35,Romania,106670623,1,
36,Russia,101728638,0,
37,San Marino,102148392,1,
38,Serbia,101855366,1,
39,Slovakia,103119917,1,
40,Slovenia,104475279,1,
41,Spain,105646813,1,
42,Sweden,105117694,1,
43,Switzerland,106693272,1,
44,Ukraine,102264497,1,
45,United Kingdom,101165590,1,
46,Vatican City,102152609,0,
106,Czech Republic,104508036,1,
